gene_symbol	inheritance_class	LOEUF	missense	geneIds
KCNK9	Dom	0.307	2.9	ENSG00000169427
FLVCR1	recessive	0.668	0.852	ENSG00000162769
TLK2	Dom	0.114	4.49	ENSG00000146872
FBXW11	Dom	0.314	3.96	ENSG00000072803
RP1	Dom	0.704	-0.894	ENSG00000104237
PLCB4	Dom	0.449	3.57	ENSG00000101333
GRIA2	Dom	0.247	4.56	ENSG00000120251
PRG4	recessive	0.743	-0.296	ENSG00000116690
UBE3B	recessive	0.545	1.36	ENSG00000151148
FUS	Dom	0.237	2.21	ENSG00000089280
KMT2E	Dom	0.06	1.42	ENSG00000005483
KMT2A	Dom	0.065	6.23	ENSG00000118058
CYFIP2	Dom	0.092	6.01	ENSG00000055163
SLC35A2	recessive	0.559	2.5	ENSG00000102100
UNC80	Dom	0.307	5.53	ENSG00000144406
MAPK8IP3	Dom	0.15	2.88	ENSG00000138834
EBP	recessive	0.342	1.49	ENSG00000147155
CNNM2	Dom	0.267	4.41	ENSG00000148842
SATB2	Dom	0.091	4.05	ENSG00000119042
NR3C2	Dom	0.35	2.1	ENSG00000151623
NPHS2	recessive	1.18	0.686	ENSG00000116218
STAT1	Dom	0.187	5.15	ENSG00000115415
DDX3X	recessive	0.118	4.33	ENSG00000215301
NBEA	Dom	0.074	5.51	ENSG00000172915
ABCG8	recessive	1.37	-2.49	ENSG00000143921
EIF2B2	recessive	1.52	1.03	ENSG00000119718
HIVEP2	Dom	0.08	1.83	ENSG00000010818
CTSA	recessive	0.879	0.481	ENSG00000064601
PIGO	recessive	0.812	0.957	ENSG00000165282
ARID1A	Dom	0.071	3.66	ENSG00000117713
PHEX	recessive	0.143	1.71	ENSG00000102174
NLRC4	Dom	0.918	0.977	ENSG00000091106
FLNA	recessive	0.082	3.78	ENSG00000196924
AKT3	Dom	0.178	3.95	ENSG00000117020
FOXP1	Dom	0.175	2.28	ENSG00000114861
PBX1	Dom	0.255	3.83	ENSG00000185630
SMCHD1	Dom	0.153	3.63	ENSG00000101596
ABCC8	Dom	0.765	1.91	ENSG00000006071
BRPF1	Dom	0.176	3.83	ENSG00000156983
RELN	recessive	0.176	2.25	ENSG00000189056
NFIX	Dom	0.149	4.08	ENSG00000008441
AHDC1	Dom	0.076	2.86	ENSG00000126705
ANKRD11	Dom	0.107	-0.554	ENSG00000167522
AP1S1	recessive	0.862	1.74	ENSG00000106367
ARHGAP29	Dom	0.249	1.21	ENSG00000137962
ARID1B	Dom	0.102	2.59	ENSG00000049618
ARSB	recessive	1.06	0.631	ENSG00000113273
ASXL1	Dom	0.794	0.636	ENSG00000171456
ASXL3	Dom	0.199	0.607	ENSG00000141431
ATP2A2	Dom	0.246	4.88	ENSG00000174437
C7	recessive	0.904	-0.644	ENSG00000112936
CASR	Dom	0.451	3.12	ENSG00000036828
CENPF	recessive	0.733	-0.0297	ENSG00000117724
CHM	recessive	0.194	0.793	ENSG00000188419
CHRNE	recessive	0.99	-0.85	ENSG00000108556
CLTC	Dom	0.104	7.76	ENSG00000141367
CNTNAP2	recessive	0.547	-0.291	ENSG00000174469
COL2A1	Dom	0.134	3.29	ENSG00000139219
COMP	Dom	0.765	1.78	ENSG00000105664
CREBBP	Dom	0.066	3.9	ENSG00000005339
DCC	Dom	0.283	0.372	ENSG00000187323
DEPDC5	Dom	0.331	2.65	ENSG00000100150
RHAG	Dom	0.65	0.774	ENSG00000112077
SNRPB	Dom	0.494	1.87	ENSG00000125835
SPTA1	Dom	0.491	-2.25	ENSG00000163554
TBX4	Dom	0.445	0.871	ENSG00000121075
TFAP2B	Dom	0.259	1.29	ENSG00000008196
TG	recessive	0.896	-1.41	ENSG00000042832
THRB	Dom	0.223	2.57	ENSG00000151090
ATP2C1	Dom	0.182	3.67	ENSG00000017260
SAMD9L	Dom	0.783	1.63	ENSG00000177409
CA12	recessive	1.33	-0.184	ENSG00000074410
GLMN	Dom	0.906	0.954	ENSG00000174842
ACTG2	Dom	0.628	3.35	ENSG00000163017
FERMT1	recessive	0.854	0.78	ENSG00000101311
YAP1	Dom	0.19	1.78	ENSG00000137693
SLC39A4	recessive	0.704	-0.295	ENSG00000147804
AASS	recessive	0.809	0.882	ENSG00000008311
CDSN	Dom	0.629	1.01	ENSG00000204539
SMARCAD1	Dom	0.083	3.49	ENSG00000163104
CETP	Dom	1.5	-0.526	ENSG00000087237
VPS13A	recessive	0.484	1.76	ENSG00000197969
CHRM3	recessive	0.249	1.96	ENSG00000133019
SMOC2	recessive	0.622	0.642	ENSG00000112562
SLC24A5	recessive	1.16	0.317	ENSG00000188467
TWIST2	Dom	1.15	2.13	ENSG00000233608
RHBDF2	Dom	0.506	1.79	ENSG00000129667
ADCY10	Dom	1.03	0.455	ENSG00000143199
CPOX	Dom	0.542	1.35	ENSG00000080819
CPOX	recessive	0.542	1.35	ENSG00000080819
BEAN1	Dom	1.68	1.1	ENSG00000166546
FAM111A	Dom	1.95	-0.021	ENSG00000166801
AAGAB	Dom	1.04	-0.877	ENSG00000103591
WDR73	recessive	1.26	-0.461	ENSG00000177082
PIEZO1	Dom	0.581	-3.43	ENSG00000103335
DSG1	Dom	0.331	-0.341	ENSG00000134760
NBEAL2	recessive	0.32	2.39	ENSG00000160796
GDF2	Dom	0.976	0.458	ENSG00000128802
GFI1B	Dom	0.865	0.496	ENSG00000165702
GNA11	Dom	0.395	3.77	ENSG00000088256
GNRHR	recessive	0.75	0.301	ENSG00000109163
HOXA13	Dom	0.307	0.558	ENSG00000106031
HSPA9	Dom	0.319	1.04	ENSG00000113013
ITGA8	recessive	0.664	-0.272	ENSG00000077943
KRT14	Dom	0.846	0.835	ENSG00000186847
KRT17	Dom	1.34	-0.492	ENSG00000128422
KRT2	Dom	0.67	-0.761	ENSG00000172867
KRT4	Dom	1.06	-0.456	ENSG00000170477
KRT9	Dom	0.923	0.199	ENSG00000171403
KRT83	Dom	1.41	-1.24	ENSG00000170523
KRT86	Dom	1.2	-1.27	ENSG00000170442
LYZ	Dom	1.79	0.732	ENSG00000090382
SMAD4	Dom	0.222	4.13	ENSG00000141646
MC2R	recessive	1.85	0.00651	ENSG00000185231
OSMR	Dom	0.944	0.113	ENSG00000145623
ATP6V1B2	Dom	0.287	2.49	ENSG00000147416
PDE3A	Dom	0.515	0.592	ENSG00000172572
AVP	Dom	1.45	1.05	ENSG00000101200
PLCD1	recessive	1.1	0.241	ENSG00000187091
ABCC8	recessive	0.765	1.91	ENSG00000006071
ADA	recessive	1.32	0.118	ENSG00000196839
AGA	recessive	1.04	-0.445	ENSG00000038002
AGL	recessive	0.795	-0.461	ENSG00000162688
AGXT	recessive	1.03	-0.268	ENSG00000172482
AIRE	recessive	1.12	-0.00206	ENSG00000160224
ALDH3A2	recessive	0.825	0.682	ENSG00000072210
ALDOB	recessive	1.1	-1.42	ENSG00000136872
ALG6	recessive	0.641	1.53	ENSG00000088035
ALPL	recessive	0.693	1.27	ENSG00000162551
AMT	recessive	0.789	-0.101	ENSG00000145020
ARG1	recessive	0.917	0.056	ENSG00000118520
ARSA	recessive	1.34	0.38	ENSG00000100299
ASL	recessive	0.936	0.749	ENSG00000126522
ASPA	recessive	1.1	0.479	ENSG00000108381
ASS1	recessive	0.984	0.758	ENSG00000130707
BBS1	recessive	0.981	0.156	ENSG00000174483
BBS10	recessive	1.36	0.095	ENSG00000179941
BBS12	recessive	0.963	0.336	ENSG00000181004
BBS2	recessive	1.07	0.87	ENSG00000125124
BCKDHA	recessive	1.03	0.684	ENSG00000248098
BCKDHB	recessive	1.1	-0.176	ENSG00000083123
BLM	recessive	0.751	0.887	ENSG00000197299
BTD	recessive	1.3	-0.525	ENSG00000169814
BTK	recessive	0.103	4.04	ENSG00000010671
CAPN3	recessive	0.965	-0.033	ENSG00000092529
CBS	recessive	0.728	0.832	ENSG00000160200
CFTR	recessive	1.31	-3.14	ENSG00000001626
CLN3	recessive	0.906	-0.146	ENSG00000188603
CLN5	recessive	1.23	-0.123	ENSG00000102805
CLN6	recessive	1.13	-0.00922	ENSG00000128973
CLN8	recessive	1.17	-0.766	ENSG00000182372
COL4A3	recessive	0.522	1.99	ENSG00000169031
COL4A4	recessive	0.616	1.02	ENSG00000081052
COL4A5	recessive	0.191	2.5	ENSG00000188153
CPS1	recessive	0.517	1.46	ENSG00000021826
CPT2	recessive	1.17	0.397	ENSG00000157184
CTNS	recessive	0.799	-0.918	ENSG00000040531
CTSK	recessive	0.94	0.998	ENSG00000143387
CYP11B1	recessive	0.955	-1.56	ENSG00000160882
CYP21A2	recessive	0.818	1.15	ENSG00000231852
CYP27A1	recessive	1.38	-0.31	ENSG00000135929
DBT	recessive	0.816	0.991	ENSG00000137992
DHCR7	recessive	1.35	-0.452	ENSG00000172893
DLD	recessive	0.545	1.1	ENSG00000091140
DMD	recessive	0.154	-2.43	ENSG00000198947
DYSF	recessive	0.734	0.0389	ENSG00000135636
EIF2B5	recessive	0.441	0.777	ENSG00000145191
ERCC6	recessive	0.802	0.0981	ENSG00000225830
ERCC8	recessive	1.36	-0.402	ENSG00000049167
EVC	recessive	1.06	-1.25	ENSG00000072840
EVC2	recessive	1.06	-2.14	ENSG00000173040
FAH	recessive	1.41	-0.0329	ENSG00000103876
FANCA	recessive	1.37	-5.41	ENSG00000187741
FANCC	recessive	1.04	-0.194	ENSG00000158169
FKRP	recessive	1.32	1.85	ENSG00000181027
FMR1	recessive	0.417	2.97	ENSG00000102081
GALC	recessive	0.937	0.186	ENSG00000054983
GALK1	recessive	1.09	0.593	ENSG00000108479
GALT	recessive	0.864	0.915	ENSG00000213930
GBA	recessive	0.801	1.17	ENSG00000177628
GCDH	recessive	0.639	0.306	ENSG00000105607
GLB1	recessive	0.86	0.794	ENSG00000170266
GLDC	recessive	1.11	-1.59	ENSG00000178445
GNE	recessive	1.16	2.59	ENSG00000159921
GNPTAB	recessive	0.821	1.19	ENSG00000111670
GNPTG	recessive	1.22	-2.06	ENSG00000090581
GRHPR	recessive	1.17	0.739	ENSG00000137106
HBB	recessive	1.98	-0.211	ENSG00000244734
HEXA	recessive	0.973	-0.409	ENSG00000213614
HEXB	recessive	0.916	0.648	ENSG00000049860
HGSNAT	recessive	0.729	0.706	ENSG00000165102
HLCS	recessive	0.876	0.148	ENSG00000159267
HMGCL	recessive	1.11	0.46	ENSG00000117305
HOGA1	recessive	1.77	-0.279	ENSG00000241935
HSD17B4	recessive	0.745	-0.275	ENSG00000133835
IDS	recessive	0.18	1.58	ENSG00000010404
IDUA	recessive	1.17	-0.598	ENSG00000127415
IL2RG	recessive	0.209	1.49	ENSG00000147168
IVD	recessive	1.35	0.349	ENSG00000128928
KCNJ11	recessive	1.21	1.65	ENSG00000187486
LAMA2	recessive	0.732	-0.03	ENSG00000196569
LAMA3	recessive	0.691	0.487	ENSG00000053747
LAMB3	recessive	0.738	-0.525	ENSG00000196878
LAMC2	recessive	0.648	0.346	ENSG00000058085
LIPA	recessive	0.998	0.228	ENSG00000107798
LRPPRC	recessive	0.53	-1.93	ENSG00000138095
MAN2B1	recessive	0.967	1.15	ENSG00000104774
MCOLN1	recessive	0.604	1.61	ENSG00000090674
MEFV	recessive	1.13	-1.72	ENSG00000103313
MKS1	recessive	1.04	0.492	ENSG00000011143
MLC1	recessive	1.16	0.203	ENSG00000100427
MMAA	recessive	1.29	0.331	ENSG00000151611
MMAB	recessive	0.882	-0.109	ENSG00000139428
MMACHC	recessive	1.76	-1.08	ENSG00000132763
MPI	recessive	1.17	0.153	ENSG00000178802
MTM1	recessive	0.176	2.4	ENSG00000171100
NAGLU	recessive	0.903	0.988	ENSG00000108784
NBN	recessive	1.01	0.609	ENSG00000104320
NEB	recessive	0.424	-0.0409	ENSG00000183091
NPC1	recessive	0.486	1.09	ENSG00000141458
NPC2	recessive	1.39	1.3	ENSG00000119655
NPHS1	recessive	0.696	0.408	ENSG00000161270
NR0B1	recessive	0.275	1.08	ENSG00000169297
OPA3	recessive	1.13	0.052	ENSG00000125741
PAH	recessive	1.5	-0.648	ENSG00000171759
PC	recessive	0.435	3.06	ENSG00000173599
PCCA	recessive	0.906	0.185	ENSG00000175198
PCCB	recessive	0.894	-0.867	ENSG00000114054
PEX1	recessive	0.664	1.14	ENSG00000127980
PEX10	recessive	0.86	-0.294	ENSG00000157911
PEX12	recessive	1.85	0.459	ENSG00000108733
PEX2	recessive	1.2	0.0473	ENSG00000164751
PEX6	recessive	0.648	1.44	ENSG00000124587
PEX7	recessive	1.42	0.497	ENSG00000112357
PKHD1	recessive	0.681	-0.982	ENSG00000170927
PMM2	recessive	1.88	-1.39	ENSG00000140650
POMGNT1	recessive	1.04	0.899	ENSG00000085998
PPT1	recessive	0.885	0.0339	ENSG00000131238
PROP1	recessive	0.898	0.248	ENSG00000175325
RS1	recessive	0.303	0.969	ENSG00000102104
SACS	recessive	0.536	0.938	ENSG00000151835
SGCA	recessive	0.789	0.676	ENSG00000108823
SGCB	recessive	1.47	-0.00497	ENSG00000163069
SGCD	recessive	0.824	0.195	ENSG00000170624
SGCG	recessive	1.05	-0.134	ENSG00000102683
SGSH	recessive	0.804	-0.0538	ENSG00000181523
SLC17A5	recessive	1.04	0.714	ENSG00000119899
SLC22A5	recessive	1.36	-0.357	ENSG00000197375
SLC37A4	recessive	0.878	0.00226	ENSG00000137700
SMN1	recessive	1.93	0.0584	ENSG00000172062
SMPD1	recessive	1.09	-0.0974	ENSG00000166311
STAR	recessive	1.61	-0.0892	ENSG00000147465
TAT	recessive	0.613	0.76	ENSG00000198650
TCIRG1	recessive	0.866	0.627	ENSG00000110719
TGM1	recessive	0.93	-0.0602	ENSG00000092295
TH	recessive	0.788	0.564	ENSG00000180176
TPP1	recessive	0.783	-0.221	ENSG00000166340
TRAPPC11	recessive	0.569	0.932	ENSG00000168538
TTPA	recessive	1.09	0.303	ENSG00000137561
VPS13B	recessive	0.65	0.982	ENSG00000132549
XPA	recessive	0.972	0.346	ENSG00000136936
XPC	recessive	0.782	0.695	ENSG00000154767
ZFYVE26	recessive	0.602	0.52	ENSG00000072121
ABHD12	recessive	0.763	0.195	ENSG00000100997
ACOX1	Dom	0.462	1.98	ENSG00000161533
ACTB	Dom	0.232	5.02	ENSG00000075624
ACTG1	Dom	0.858	3.16	ENSG00000184009
AIFM1	recessive	0.234	2.49	ENSG00000156709
ALMS1	recessive	0.874	-2.99	ENSG00000116127
AP1B1	recessive	0.263	3.12	ENSG00000100280
ATP2B2	Dom	0.148	4.55	ENSG00000157087
ATP6V1B1	recessive	0.948	0.232	ENSG00000116039
BCAP31	recessive	0.65	1.3	ENSG00000185825
BCS1L	recessive	1.24	1.62	ENSG00000074582
BSND	recessive	1.78	0.0663	ENSG00000162399
CABP2	recessive	0.971	0.0294	ENSG00000167791
CCDC50	Dom	0.744	0.072	ENSG00000152492
CDC14A	recessive	0.765	0.494	ENSG00000079335
CDH23	recessive	0.567	0.707	ENSG00000107736
CEACAM16	recessive	1.03	0.524	ENSG00000213892
CEP250	recessive	0.647	1.33	ENSG00000126001
CEP78	recessive	1.02	-0.58	ENSG00000148019
CHD7	Dom	0.076	3.22	ENSG00000171316
CIB2	recessive	1.09	0.519	ENSG00000136425
CISD2	recessive	0.91	1.27	ENSG00000145354
CLDN14	recessive	1.75	0.197	ENSG00000159261
CLPP	recessive	0.565	1.95	ENSG00000125656
CLRN1	recessive	1.81	-0.593	ENSG00000163646
COL11A1	Dom	0.216	1.02	ENSG00000060718
COL11A2	Dom	0.306	2.37	ENSG00000204248
COL11A2	recessive	0.306	2.37	ENSG00000204248
COL9A1	recessive	0.814	0.186	ENSG00000112280
COL9A2	recessive	0.636	1.34	ENSG00000049089
DIAPH1	Dom	0.32	1.65	ENSG00000131504
DMXL2	recessive	0.158	2.37	ENSG00000104093
DNMT1	Dom	0.143	4.99	ENSG00000130816
EDN3	Dom	0.964	-0.939	ENSG00000124205
EDN3	recessive	0.964	-0.939	ENSG00000124205
EDNRB	Dom	0.593	1.18	ENSG00000136160
EDNRB	recessive	0.593	1.18	ENSG00000136160
EPS8	recessive	0.311	0.811	ENSG00000151491
EPS8L2	recessive	0.627	-0.799	ENSG00000177106
ESPN	Dom	0.934	-0.0787	ENSG00000187017
ESRRB	recessive	0.519	1.56	ENSG00000119715
EYA1	Dom	0.332	1.02	ENSG00000104313
EYA4	Dom	0.45	1.12	ENSG00000112319
FDXR	recessive	0.818	0.906	ENSG00000161513
FGF3	recessive	1.78	-0.118	ENSG00000186895
FITM2	recessive	1.55	0.598	ENSG00000197296
FOXI1	recessive	0.513	0.728	ENSG00000168269
GATA3	Dom	0.388	1.91	ENSG00000107485
GIPC3	recessive	0.934	0.177	ENSG00000179855
GJB2	recessive	1.98	-0.72	ENSG00000165474
GPSM2	recessive	0.864	1.26	ENSG00000121957
GRHL2	Dom	0.27	1.93	ENSG00000083307
GRXCR1	recessive	1.7	-0.478	ENSG00000215203
HAAO	recessive	1.14	-0.177	ENSG00000162882
HARS2	recessive	0.736	0.0439	ENSG00000112855
HOMER2	Dom	0.659	0.314	ENSG00000103942
HOXA2	Dom	0.699	0.414	ENSG00000105996
ILDR1	recessive	1.07	-0.256	ENSG00000145103
KCNE1	recessive	1.93	-0.616	ENSG00000180509
KCNJ10	recessive	0.761	1.48	ENSG00000177807
KCNQ1	recessive	0.814	1.83	ENSG00000053918
KCNQ4	Dom	0.41	2.17	ENSG00000117013
KIT	Dom	0.305	2.58	ENSG00000157404
LARS2	recessive	0.857	1.33	ENSG00000011376
LHFPL5	recessive	1.43	0.3	ENSG00000197753
LHX3	recessive	0.742	0.333	ENSG00000107187
LMX1A	Dom	0.274	1	ENSG00000162761
LOXHD1	recessive	1.01	1.38	ENSG00000167210
LRTOMT	recessive	1.2	1.09	ENSG00000184154
MARVELD2	recessive	1.18	0.197	ENSG00000152939
MASP1	recessive	0.978	-0.16	ENSG00000127241
MITF	Dom	0.308	1.47	ENSG00000187098
MPZL2	recessive	1.86	-0.48	ENSG00000149573
MYH14	Dom	0.332	2.28	ENSG00000105357
MYO15A	recessive	0.8	0.646	ENSG00000091536
MYO3A	recessive	1.04	-0.132	ENSG00000095777
MYO6	Dom	0.419	1.39	ENSG00000196586
MYO6	recessive	0.419	1.39	ENSG00000196586
MYO7A	Dom	0.848	1.07	ENSG00000137474
MYO7A	recessive	0.848	1.07	ENSG00000137474
NARS2	recessive	0.863	-0.759	ENSG00000137513
OPA1	Dom	0.294	1.97	ENSG00000198836
OSBPL2	Dom	0.481	1.97	ENSG00000130703
OTOA	recessive	0.692	0.281	ENSG00000155719
OTOG	recessive	0.749	1.92	ENSG00000188162
OTOGL	recessive	0.9	0.578	ENSG00000165899
P2RX2	Dom	1.4	0.232	ENSG00000187848
PAX1	recessive	0.498	-0.758	ENSG00000125813
PAX3	Dom	0.475	1.62	ENSG00000135903
PAX3	recessive	0.475	1.62	ENSG00000135903
PCDH15	recessive	0.794	-1.68	ENSG00000150275
PDZD7	recessive	1.13	-0.372	ENSG00000186862
PLOD3	recessive	0.819	0.158	ENSG00000106397
PLS1	Dom	0.667	1.48	ENSG00000120756
PNPT1	recessive	0.475	0.424	ENSG00000138035
POLD1	Dom	0.527	2.46	ENSG00000062822
POU3F4	recessive	0.695	1.93	ENSG00000196767
POU4F3	Dom	0.37	-0.661	ENSG00000091010
PRPS1	recessive	0.377	3.73	ENSG00000147224
PTPRQ	recessive	0.696	0.999	ENSG00000139304
RDX	recessive	0.348	0.908	ENSG00000137710
S1PR2	recessive	1.05	1.53	ENSG00000267534
SALL1	Dom	0.196	0.722	ENSG00000103449
SALL4	Dom	0.101	1.08	ENSG00000101115
SERAC1	recessive	0.626	1.49	ENSG00000122335
SERPINB6	recessive	1.12	0.0613	ENSG00000124570
SGPL1	recessive	0.554	1.82	ENSG00000166224
SIX1	Dom	0.522	1.19	ENSG00000126778
SLC17A8	Dom	0.608	0.83	ENSG00000179520
SLC19A2	recessive	0.764	0.192	ENSG00000117479
SLC26A4	recessive	1.18	-2.01	ENSG00000091137
SLC26A5	recessive	0.724	0.901	ENSG00000170615
SLC4A11	recessive	0.942	0.602	ENSG00000088836
SLC52A2	recessive	0.975	-0.845	ENSG00000185803
SLITRK6	recessive	1.27	-0.381	ENSG00000184564
SMPX	recessive	0.951	-0.0417	ENSG00000091482
SOX10	Dom	0.209	2.77	ENSG00000100146
SPATA5	recessive	1.08	0.46	ENSG00000145375
STRC	recessive	0.878	1.27	ENSG00000242866
SYNE4	recessive	1.29	0.492	ENSG00000181392
TBC1D24	recessive	1.12	0.757	ENSG00000162065
TECTA	Dom	0.58	1.61	ENSG00000109927
TECTA	recessive	0.58	1.61	ENSG00000109927
TIMM8A	recessive	0.872	1.15	ENSG00000126953
TMC1	recessive	0.975	0.858	ENSG00000165091
TMC1	Dom	0.975	0.858	ENSG00000165091
TMIE	recessive	1.81	0.0515	ENSG00000181585
TMPRSS3	recessive	1.12	-0.565	ENSG00000160183
TPRN	recessive	0.796	-0.497	ENSG00000176058
TRIOBP	recessive	0.714	-0.196	ENSG00000100106
TUBB4B	Dom	0.442	4.5	ENSG00000188229
USH1C	recessive	0.888	-0.874	ENSG00000006611
USH1G	recessive	1.09	0.633	ENSG00000182040
USH2A	recessive	0.857	-2.47	ENSG00000042781
WFS1	recessive	1.93	-4.71	ENSG00000109501
WFS1	Dom	1.93	-4.71	ENSG00000109501
CD151	recessive	1.09	0.594	ENSG00000177697
HMX1	recessive	0.699	-0.102	ENSG00000215612
SLX4	recessive	0.872	-1.88	ENSG00000188827
ATR	recessive	0.399	4.36	ENSG00000175054
NTRK1	recessive	0.658	1.03	ENSG00000198400
BBS9	recessive	0.842	0.404	ENSG00000122507
TRIM32	recessive	0.855	0.827	ENSG00000119401
PAX2	Dom	0.434	1.49	ENSG00000075891
FGFR3	Dom	0.604	1.26	ENSG00000068078
NSD1	Dom	0.095	3.41	ENSG00000165671
ADAR	Dom	0.42	2.27	ENSG00000160710
FEZF1	recessive	0.342	1.29	ENSG00000128610
FLNB	recessive	0.443	2.14	ENSG00000136068
MOGS	recessive	0.957	0.662	ENSG00000115275
AGPS	recessive	0.117	3.23	ENSG00000018510
OFD1	Dom	0.322	0.32	ENSG00000046651
PAFAH1B1	Dom	0.107	3.53	ENSG00000007168
CHST3	recessive	0.795	0.786	ENSG00000122863
RPGRIP1	recessive	0.876	0.248	ENSG00000092200
RIPK4	recessive	0.594	1.89	ENSG00000183421
BRIP1	recessive	0.786	1.2	ENSG00000136492
OFD1	recessive	0.322	0.32	ENSG00000046651
TBX3	Dom	0.281	1.73	ENSG00000135111
LAMA1	recessive	0.621	-0.136	ENSG00000101680
MECP2	Dom	0.407	-1.21	ENSG00000169057
FTL	Dom	1.95	-0.441	ENSG00000087086
TGFB3	Dom	0.27	1.66	ENSG00000119699
GJA1	recessive	0.624	1.28	ENSG00000152661
PLK4	recessive	0.569	0.8	ENSG00000142731
FOXP2	Dom	0.219	1.9	ENSG00000128573
DOCK6	recessive	0.717	1.43	ENSG00000130158
PITX3	Dom	0.479	1.5	ENSG00000107859
CHAMP1	Dom	0.271	0.14	ENSG00000198824
FOXE3	recessive	1.61	0.568	ENSG00000186790
MKKS	recessive	1.29	-0.052	ENSG00000125863
ACAN	Dom	0.183	0.207	ENSG00000157766
NAGA	recessive	1.3	0.169	ENSG00000198951
PLCB1	recessive	0.296	3.83	ENSG00000182621
NT5C3A	recessive	0.703	0.247	ENSG00000122643
ARX	recessive	0.389	2.05	ENSG00000004848
SMARCA2	Dom	0.203	5.05	ENSG00000080503
IQSEC2	Dom	0.133	5.19	ENSG00000124313
VSX2	recessive	1.04	0.561	ENSG00000119614
NSDHL	recessive	0.289	0.869	ENSG00000147383
DPAGT1	recessive	1.08	1.43	ENSG00000172269
KBTBD13	Dom	1.87	-0.587	ENSG00000234438
NEK8	recessive	0.798	1.15	ENSG00000160602
TRAPPC2	recessive	1.75	1.53	ENSG00000196459
HOXC13	recessive	0.66	0.55	ENSG00000123364
CDC6	recessive	1.01	0.606	ENSG00000094804
IFT140	recessive	0.818	-0.811	ENSG00000187535
PIGV	recessive	1.24	0.398	ENSG00000060642
MSX1	Dom	1.01	0.278	ENSG00000163132
MAGEL2	Dom	0.312	-0.563	ENSG00000254585
SLC2A1	Dom	0.241	2.93	ENSG00000117394
GRHL2	recessive	0.27	1.93	ENSG00000083307
HADH	recessive	0.998	0.528	ENSG00000138796
